"id","name","streetAddress","city","state","country","postal"
"on-public:B66044:890073","A B Lucas Secondary School","656 Tennent Ave","London","Ontario","Canada","N5X 1L8"
"on-public:B66150:890200","A N Myer Secondary School","6338 Oneil St","Niagara Falls","Ontario","Canada","L2J 1M7"
"on-public:B66184:890243","A.Y. Jackson Secondary School","150 Abbeyhill Dr","Kanata","Ontario","Canada","K2L 1H7"
"on-public:B66052:890227","A Y Jackson Secondary School","50 Francine Dr","Toronto","Ontario","Canada","M2H 2G6"
"on-public:B66133:913715","Abbey Park High School","1455 Glen Abbey Gate","Oakville","Ontario","Canada","L6M 2G5"
"on-public:B66133:890332","Acton District School","21 Cedar Rd","Acton","Ontario","Canada","L7J 2V2"
"on-public:B66079:890464","Adam Scott Collegiate and Vocational Institute","175 Langton St","Peterborough","Ontario","Canada","K9H 6K3"
"on-public:B66052:890723","Agincourt Collegiate Institute","2621 Midland Ave","Agincourt","Ontario","Canada","M1S 1R6"
"on-public:B66060:890855","Ajax High School","105 Bayly St E","Ajax","Ontario","Canada","L1S 1P2"
"on-public:B66052:890880","Albert Campbell Collegiate Institute","1550 Sandhurst Circle","Toronto","Ontario","Canada","M1V 1S6"
"on-public:B66133:890987","Aldershot High School","50 Fairwood Pl W","Burlington","Ontario","Canada","L7T 1E5"
"on-public:B66095:904040","Alexander MacKenzie High School","300 Major MacKenzie Dr W","Richmond Hill","Ontario","Canada","L4C 3S3"
"on-public:B67180:724777","All Saints Catholic High School","5115 Kanata Ave","Kanata","Ontario","Canada","K2K 3K5"
"on-public:B67105:685984","All Saints Catholic Secondary School Secondary School","3001 Country Lane","Whitby","Ontario","Canada","L1P 1M1"
"on-public:B28037:943630","Almaguin Highlands Secondary School","PO Box Box 250, 21 Mountain View Road","South River","Ontario","Canada","P0A 1X0"
"on-public:B66192:891630","Almonte District High School","126 Martin Street North","Almonte","Ontario","Canada","K0A 1A0"
"on-public:B66052:901908","ALPHA II Alternative School","35 Calico Drive","North York","Ontario","Canada","M3L 1V5"
"on-public:B66052:892475","Alternative Scarborough Education 1","45 Windover Drive","Scarborough","Ontario","Canada","M1G 1P1"
"on-public:B66060:892025","Anderson Collegiate and Vocational Institute","400 Anderson St","Whitby","Ontario","Canada","L1N 3V6"
"on-public:B66125:892203","Applewood Heights Secondary School","945 Bloor St E","Mississauga","Ontario","Canada","L4Y 2M8"
"on-public:B67105:703923","Archbishop Denis O'Connor Catholic High School","80 Mandrake St","Ajax","Ontario","Canada","L1S 5H4"
"on-public:B66214:892416","Arnprior District High School","59 Ottawa St","Arnprior","Ontario","Canada","K7S 1X2"
"on-public:B66044:892670","Arthur Voaden Secondary School","41 Flora St","St Thomas","Ontario","Canada","N5P 2X5"
"on-public:B67083:687308","Ascension of Our Lord Secondary School","7640 Anaka Drive","Mississauga","Ontario","Canada","L4T 3H7"
"on-public:B67113:688231","Assumption Catholic Secondary School","3230 Woodward Ave","Burlington","Ontario","Canada","L7N 3P1"
"on-public:B67024:688363","Assumption College School","1100 Huron Church Rd","Windsor","Ontario","Canada","N9C 2K7"
"on-public:B67164:688088","Assumption College School High School","257 Shellard Lane","Brantford","Ontario","Canada","N3T 0M7"
"on-public:B66192:892807","Athens District High School","21 Church Street","Athens","Ontario","Canada","K0E 1B0"
"on-public:B66095:892998","Aurora High School","155 Wellington St W","Aurora","Ontario","Canada","L4G 2P4"
"on-public:B66052:890120","Avondale Secondary Alternative School","24 Silverview Dr Dr","North York","Ontario","Canada","M2N 2B3"
"on-public:B66109:893064","Banting Memorial High School","PO Box Box 3000, 203 Victoria St E","Alliston","Ontario","Canada","L9R 1G5"
"on-public:B66109:893323","Barrie North Collegiate Institute","110 Grove St E","Barrie","Ontario","Canada","L4M 2P3"
"on-public:B66206:893773","Bayridge Secondary School","1059 Taylor-Kidd Blvd","Kingston","Ontario","Canada","K7M 6J9"
"on-public:B66222:893803","Bayside Secondary School","1247 Old Hwy 2","Belleville","Ontario","Canada","K8N 4Z2"
"on-public:B66095:893978","Bayview Secondary School","10077 Bayview Ave","Richmond Hill","Ontario","Canada","L4C 2L4"
"on-public:B66109:894060","Bear Creek Secondary School","100 Red Oak Dr","Barrie","Ontario","Canada","L4N 9M5"
"on-public:B28045:894230","Beaver Brae Secondary School","1400 Ninth St N","Kenora","Ontario","Canada","P9N 2T7"
"on-public:B66184:894362","Bell High School","40 Cassidy Rd","Nepean","Ontario","Canada","K2H 6K1"
"on-public:B66028:929727","Belle River District High School","333 South St","Belle River","Ontario","Canada","N0R 1A0"
"on-public:B66141:898848","Bernie Custis Secondary School Secondary School","1055 King Street","Hamilton","Ontario","Canada","L8M 1E2"
"on-public:B66095:939585","Bill Crothers Secondary School","44 Main Street","Unionville","Ontario","Canada","L3R 2E4"
"on-public:B66095:890202","Bill Hogarth Secondary School","100 Donald Sim Ave","Markham","Ontario","Canada","L6B 0R4"
"on-public:B66052:895016","Birchmount Park Collegiate Institute","3663 Danforth Ave","Scarborough","Ontario","Canada","M1N 2G2"
"on-public:B29033:689351","Bishop Alexander Carter Catholic Secondary School","539 Francis Street","Hanmer","Ontario","Canada","P3P 1E6"
"on-public:B67059:689360","Bishop Allen Academy Catholic Secondary School","721 Royal York Rd","Toronto","Ontario","Canada","M8Y 2T3"
"on-public:B67130:689661","Bishop Macdonell Catholic Secondary School","200 Clair Rd W","Guelph","Ontario","Canada","N1L 1G1"
"on-public:B67059:691798","Bishop Marrocco/Thomas Merton Catholic Secondary School","1515 Bloor St W","Toronto","Ontario","Canada","M6P 1A3"
"on-public:B67113:689726","Bishop Paul Francis Reding Catholic Secondary School","PO Box Box 1015, 1120 Main St E","Milton","Ontario","Canada","L9T 6H7"
"on-public:B67121:689750","Bishop Ryan Catholic Secondary School","1824 Rymal Road East","Hannon","Ontario","Canada","L0R 1P0"
"on-public:B67199:689939","Bishop Smith Catholic High School","362 Carmody St","Pembroke","Ontario","Canada","K8A 4G2"
"on-public:B67121:689386","Bishop Tonnos Catholic Secondary School","100 Panabaker Dr","Ancaster","Ontario","Canada","L9G 5E3"
"on-public:B66036:895148","Blenheim District High School","163 Chatham St S","Blenheim","Ontario","Canada","N0P 1A0"
"on-public:B67156:690791","Blessed Trinity Catholic Secondary School","145 Livingston Ave","Grimsby","Ontario","Canada","L3M 5J6"
"on-public:B66052:895407","Bloor Collegiate Institute","725 Bathurst St","Toronto","Ontario","Canada","M5S 2R5"
