"id","name","boardName","schoolSpecialConditions","streetAddress","city","state","country","postal"
"on-provider:B66087:890170","AAEC's/e-Learning","Trillium Lakelands DSB","Adult","230 Angeline St. S","Lindsay","Ontario","Canada","K9V 4R2"
"on-provider:B29009:992783","ACCESS Centre","Northeastern CDSB","Continuing Education","383 Birch Street North","Timmins","Ontario","Canada","P4N 6H5"
"on-provider:B66060:990558","Adult & Continuing Education Centre","Durham DSB","Continuing Education","120 Centre St S","Oshawa","Ontario","Canada","L1H 4A3"
"on-provider:B28029:911609","Adult Day School","Rainbow DSB","Alternative","154 College St","Sudbury","Ontario","Canada","P3C 4Y2"
"on-provider:B66095:990671","Adult Day School School","York Region DSB","Continuing Education","39 Dunning Avenue","Aurora","Ontario","Canada","L4E 4R1"
"on-provider:B66125:991961","Adult Education Centre Mississauga Secondary School","Peel DSB","Continuing Education","1490 Ogden Avenue","Mississauga","Ontario","Canada","L5E 2H8"
"on-provider:B66184:947210","Adult High School","Ottawa-Carleton DSB","Adult","300 Rochester St","Ottawa","Ontario","Canada","K1R 7N4"
"on-provider:B66095:981236","Alexander MacKenzie Secondary Summer School","York Region DSB","Summer","300 Major MacKenzie Drive","Richmond Hill","Ontario","Canada","L4C 3S3"
"on-provider:B29017:995746","Alternative and Cooperative Edu. Campus Secondary School","Nipissing-Parry Sound CDSB","Continuing Education","570 First Avenue E","North Bay","Ontario","Canada","P1B 1K6"
"on-provider:B67105:997199","Arch Anthony Meagher Day - PSW Catholic District School Board Night School","Durham CDSB","Continuing Education","540 Rossland Rd","Oshawa","Ontario","Canada","L1J 5P1"
"on-provider:B67105:992259","Archbishop Anthony Meagher Virtual LH Catholic District School Board Night School","Durham CDSB","Continuing Education","Suite ConEd, 540 Rossland Road","Oshawa","Ontario","Canada","L1J 8M7"
"on-provider:B66095:990876","Aurora Night School","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B66010:893048","Avon Maitland District E-learning Centre","Avon Maitland DSB","Not applicable","165 Princess St E","Clinton","Ontario","Canada","N0M 1L0"
"on-provider:B66095:991058","Bayview Secondary Night School","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 1R1"
"on-provider:B66141:980224","Bernie Custis Secondary School Summer School","Hamilton-Wentworth DSB","Summer","1055 King Street","Hamilton","Ontario","Canada","L8M 1E2"
"on-provider:B67008:991056","BGCDSB - Adult Continuing Education School","Bruce-Grey CDSB","Continuing Education","799 16Th Avenue","Hanover","Ontario","Canada","N4N 3A1"
"on-provider:B66095:999235","Bill Crothers Secondary Night School","York Region DSB","Continuing Education","44 Main Street","Unionville","Ontario","Canada","L3R 2E4"
"on-provider:B66095:984658","Bill Crothers Secondary Summer School","York Region DSB","Summer","44 MAIN ST","UNIONVILLE","Ontario","Canada","L3R 2E4"
"on-provider:B66095:982649","Bill Hogarth Secondary Summer School","York Region DSB","Summer","89 Church Street","Markham","Ontario","Canada","L3P 2M3"
"on-provider:B66001:995224","Bluewater Adult Education Night","Bluewater DSB","Continuing Education","351 1St Avenue 2","Chesley","Ontario","Canada","N0G 1L0"
"on-provider:B67164:981257","Brant Haldimand Norfolk Catholic Catholic District School Board Summer School","Brant Haldimand Norfolk CDSB","Summer","80 Paris Rd","Brantford","Ontario","Canada","N3R 1H9"
"on-provider:B67164:999580","Brant Haldimand Norfolk Continuing Educa Catholic District School Board","Brant Haldimand Norfolk CDSB","Continuing Education","PO Box Box 217, 322 Fairview Dr","Brantford","Ontario","Canada","N3T 5M8"
"on-provider:B67083:992143","Brian J Fleming Adult Learning CentreN","Dufferin-Peel CDSB","Continuing Education","Suite 100, 870 Queen Street W","Mississauga","Ontario","Canada","L5H 4G1"
"on-provider:B66095:982615","Bur Oak Secondary Summer School","York Region DSB","Summer","90 BUR OAK AVE","MARKHAM","Ontario","Canada","L6C 2E6"
"on-provider:B66052:991422","Burnhamthorpe Adult Learning Centre Collegiate Institute","Toronto DSB","Continuing Education","500 The East Mall","Etobicoke","Ontario","Canada","M9B 2C4"
"on-provider:B29122:994857","Carrefour Options + (EP)","CSDC du Nouvel-Ontario","Continuing Education","504 St-Raphael rue","Sudbury","Ontario","Canada","P3B 1M4"
"on-provider:B29122:991473","Carrefour Options + Soir","CSDC du Nouvel-Ontario","Continuing Education","504 St-Raphael rue","Subdury","Ontario","Canada","P3B 1M4"
"on-provider:B29122:984272","Carrefour Options + Été","CSDC du Nouvel-Ontario","Summer","504 St-Raphael rue","Sudbury","Ontario","Canada","P3B 1M4"
"on-provider:B67172:998281","CDSBEO Continuing Education Catholic School","CDSB of Eastern Ontario","Continuing Education","5 Catherine Street","Smiths Falls","Ontario","Canada","K7A 3Z9"
"on-provider:B67172:990015","CDSBEO Continuing Education Secondary School Night School","CDSB of Eastern Ontario","Continuing Education","5 Catherine","Smiths Falls","Ontario","Canada","K7A 3Z9"
"on-provider:B67172:996064","CDSBEO E-Learning School Night School","CDSB of Eastern Ontario","Continuing Education","5 Catherine Street","Smiths Falls","Ontario","Canada","K7A 3Z9"
"on-provider:B67172:980617","CDSBEO Summer School","CDSB of Eastern Ontario","Summer","5 Catherine Street","Smiths Falls","Ontario","Canada","K7A 3Z9"
"on-provider:B29106:999950","CEA Hearst - Éducation permanente","CSDC des Grandes Rivières","Continuing Education","30 10e rue","Hearst","Ontario","Canada","P0L 1N0"
"on-provider:B28010:992232","Central Algoma Adult Learning Centre","Algoma DSB","Continuing Education","135 Dawson Street","Thessalon","Ontario","Canada","P0R 1L0"
"on-provider:B66311:980536","Centre d'éducation et de formation Summer School","CÉP de l'Est de l'Ontario","Summer","429 Abbott rue","Hawkesbury","Ontario","Canada","K6A 2E2"
"on-provider:B66079:931273","Centre for Individual Studies Clarington","Kawartha Pine Ridge DSB","Adult","140 High Street","Bowmanville","Ontario","Canada","L1C 3C1"
"on-provider:B66079:899224","Centre for Individual Studies Northumberland","Kawartha Pine Ridge DSB","Adult","780 D'arcy Street N. Street","Cobourg","Ontario","Canada","K9A 4B3"
"on-provider:B66052:991457","City Adult Learning Centre","Toronto DSB","Continuing Education","1 Danforth Ave","Toronto","Ontario","Canada","M4K 1M8"
"on-provider:B66141:998544","City Learning Centre Adult Day School","Hamilton-Wentworth DSB","Continuing Education","Suite 606, 110 King Street","Hamilton","Ontario","Canada","L8P 4S6"
"on-provider:B67334:992330","École catholique Éducation permanente","CSDC du Centre-Est de l'Ontario","Continuing Education","181 Donald rue","Ottawa","Ontario","Canada","K1K 1N1"
"on-provider:B67334:984962","École catholique Éducation permanente-Été","CSDC du Centre-Est de l'Ontario","Summer","181 Donald Street","Ottawa","Ontario","Canada","K1K 1N1"
"on-provider:B67334:981281","École catholique Éducation permanente - été/CAVLFO","CSDC du Centre-Est de l'Ontario","Summer","181 Donald rue","Ottawa","Ontario","Canada","K1K 1N1"
"on-provider:B29106:982427","École catholique Programme de cours d'été","CSDC des Grandes Rivières","Summer","21 Armstrong rue","New Liskeard","Ontario","Canada","P0J 1P0"
"on-provider:B66311:981222","École d'été Le Carrefour","CÉP de l'Est de l'Ontario","Summer","2445 St-Laurent boulevard","Ottawa","Ontario","Canada","K1G 6C3"
"on-provider:B67334:995384","École Éducation permanente - App. électronique Soir","CSDC du Centre-Est de l'Ontario","Continuing Education","181 Donald Street","Ottawa","Ontario","Canada","K1K 1N1"
"on-provider:B67334:995954","École Éducation permanente - Langues secondes Soir","CSDC du Centre-Est de l'Ontario","Continuing Education","181 Donald Street","Ottawa","Ontario","Canada","K1K 1N1"
"on-provider:B67334:992624","École Langue internationale Soir","CSDC du Centre-Est de l'Ontario","Continuing Education","181 Donald Street","Ottawa","Ontario","Canada","K1K 1N1"
"on-provider:B66311:900516","École publique Centre d'éducation et de formation de","CÉP de l'Est de l'Ontario","Adult","429 Abbott rue","Hawkesbury","Ontario","Canada","K6A 2E2"
"on-provider:B67326:989049","École secondaire catholique cours d'été","CSDC de l'Est ontarien","Summer","429 Abbott Street","Hawkesbury","Ontario","Canada","K6A 2E2"
"on-provider:B67300:981869","École secondaire catholique Ste-Trinité école d'été","Conseil scolaire catholique Providence","Summer","633 Ouellette Avenue","Windsor","Ontario","Canada","N9A 4J4"
"on-provider:B67300:992216","École secondaire catholique Ste-Trinité École du soir","Conseil scolaire catholique Providence","Continuing Education","633 Ouellette Avenue","Windsor","Ontario","Canada","N9A 4J4"
"on-provider:B66311:990742","École secondaire Centre d'éducation et de formation NS Soir","CÉP de l'Est de l'Ontario","Continuing Education","750 Principale rue","Casselman","Ontario","Canada","K0A 1M0"
"on-provider:B66311:922609","École secondaire des adultes Le Carrefour","CÉP de l'Est de l'Ontario","Adult","2445 St-Laurent boulevard","Ottawa","Ontario","Canada","K1G 6C3"
"on-provider:B66311:992712","École secondaire des adultes Le Carrefour Soir","CÉP de l'Est de l'Ontario","Continuing Education","2445 St-Laurent boulevard","Ottawa","Ontario","Canada","K1G 6C3"
"on-provider:B28118:996036","École secondaire Villa Française des Jeunes - Éd. perm. Soir","CS public du Grand Nord de l'Ontario","Continuing Education","11 Edinburgh chemin","Elliot Lake","Ontario","Canada","P5A 2M3"
"on-provider:B66150:990604","Community Education Services District High School Night School","DSB Niagara","Continuing Education","191 Carleton St","St Catharines","Ontario","Canada","L2R 7P4"
"on-provider:B66176:991066","ConEd Adult Credit Program","Waterloo Region DSB","Continuing Education","151 Weber Street","Waterloo","Ontario","Canada","N2J 2A9"
"on-provider:B67075:987786","ConEd Elearn Summer Catholic Elementary School","York CDSB","Summer","320 Bloomington Road","Aurora","Ontario","Canada","L4G 0M1"
"on-provider:B66079:996609","Continuing Education","Kawartha Pine Ridge DSB","Continuing Education","201 McDonnel St","Peterborough","Ontario","Canada","K9H 2W1"
"on-provider:B66079:994405","Continuing Education Centre","Kawartha Pine Ridge DSB","Continuing Education","Suite C/O Thomas A Stewart S S, 1009 Armour Rd N","Peterborough","Ontario","Canada","K9J 7S1"
"on-provider:B66109:997049","Continuing Education Day","Simcoe County DSB","Continuing Education","1170 Highway 26","Midhurst","Ontario","Canada","L9X 1N6"
"on-provider:B66095:995780","Continuing Education PSW School","York Region DSB","Continuing Education","36 Regatta Ave","Richmond Hill","Ontario","Canada","L4E 4R1"
"on-provider:B66141:996313","D2L Hybrid NS","Hamilton-Wentworth DSB","Continuing Education","465 East 16Th Street","Hamilton","Ontario","Canada","L9A 4K6"
"on-provider:B67083:986546","DPCDSB - AMBRO Summer School","Dufferin-Peel CDSB","Summer","10 Castle Oaks Crossing","Brampton","Ontario","Canada","L6P 3A2"
"on-provider:B67083:989021","DPCDSB - AQUIN Summer School","Dufferin-Peel CDSB","Summer","25 Corporation Drive","Brampton","Ontario","Canada","L6S 6A2"
"on-provider:B67083:989891","DPCDSB - ASCEN Summer School","Dufferin-Peel CDSB","Summer","7640 Anaka Drive","Mississauga","Ontario","Canada","L4T 3H7"
