name,province,city,country,website
Acadia University,Nova Scotia,Wolfville,Canada,https://www.acadiau.ca
Algoma University,Ontario,,Canada,https://www.ouinfo.ca/universities/algoma
Brock University,Ontario,,Canada,https://www.ouinfo.ca/universities/brock
Carleton University,Ontario,,Canada,https://www.ouinfo.ca/universities/carleton
Concordia University,Quebec,Montreal,Canada,https://www.concordia.ca
Dalhousie University,Nova Scotia,Halifax,Canada,https://www.dal.ca
Lakehead University,Ontario,,Canada,https://www.ouinfo.ca/universities/lakehead
Laurentian University,Ontario,,Canada,https://www.ouinfo.ca/universities/laurentian
McGill University,Quebec,Montreal,Canada,https://www.mcgill.ca
McMaster University,Ontario,,Canada,https://www.ouinfo.ca/universities/mcmaster
Memorial University of Newfoundland,Newfoundland and Labrador,St. John's,Canada,https://www.mun.ca
Mount Allison University,New Brunswick,Sackville,Canada,https://mta.ca
Nipissing University,Ontario,,Canada,https://www.ouinfo.ca/universities/nipissing
OCAD University,Ontario,,Canada,https://www.ouinfo.ca/universities/ocad-u
Ontario Tech University,Ontario,,Canada,https://www.ouinfo.ca/universities/ontario-tech
Queen's University,Ontario,,Canada,https://www.ouinfo.ca/universities/queens
Royal Military College of Canada,Ontario,,Canada,https://www.ouinfo.ca/universities/rmc
Saint Mary's University,Nova Scotia,Halifax,Canada,https://www.smu.ca
Simon Fraser University,British Columbia,Burnaby,Canada,https://www.sfu.ca
Toronto Metropolitan University (formerly Ryerson University),Ontario,,Canada,https://www.ouinfo.ca/universities/toronto-metropolitan
Trent University,Ontario,,Canada,https://www.ouinfo.ca/universities/trent
Universit? de Montr?al,Quebec,Montreal,Canada,https://www.umontreal.ca
Universit? de Sherbrooke,Quebec,Sherbrooke,Canada,https://www.usherbrooke.ca
Universit? Laval,Quebec,Quebec City,Canada,https://www.ulaval.ca
Université de Hearst,Ontario,,Canada,https://www.ouinfo.ca/universities/hearst
Université de l'Ontario français,Ontario,,Canada,https://www.ouinfo.ca/universities/uof
University of Alberta,Alberta,Edmonton,Canada,https://www.ualberta.ca
University of British Columbia,British Columbia,Vancouver,Canada,https://www.ubc.ca
University of Calgary,Alberta,Calgary,Canada,https://www.ucalgary.ca
University of Guelph,Ontario,,Canada,https://www.ouinfo.ca/universities/guelph
University of Guelph-Humber,Ontario,,Canada,https://www.ouinfo.ca/universities/guelph-humber
University of Lethbridge,Alberta,Lethbridge,Canada,https://www.ulethbridge.ca
University of Manitoba,Manitoba,Winnipeg,Canada,https://umanitoba.ca
University of New Brunswick,New Brunswick,Fredericton,Canada,https://www.unb.ca
University of Northern British Columbia,British Columbia,Prince George,Canada,https://www.unbc.ca
University of Ottawa,Ontario,,Canada,https://www.ouinfo.ca/universities/ottawa
University of Prince Edward Island,Prince Edward Island,Charlottetown,Canada,https://www.upei.ca
University of Regina,Saskatchewan,Regina,Canada,https://www.uregina.ca
University of Saskatchewan,Saskatchewan,Saskatoon,Canada,https://www.usask.ca
University of Toronto – St. George Campus,Ontario,,Canada,https://www.ouinfo.ca/universities/toronto-st-george
University of Toronto Mississauga,Ontario,,Canada,https://www.ouinfo.ca/universities/toronto-mississauga
University of Toronto Scarborough,Ontario,,Canada,https://www.ouinfo.ca/universities/toronto-scarborough
University of Victoria,British Columbia,Victoria,Canada,https://www.uvic.ca
University of Waterloo,Ontario,,Canada,https://www.ouinfo.ca/universities/waterloo
University of Windsor,Ontario,,Canada,https://www.ouinfo.ca/universities/windsor
University of Winnipeg,Manitoba,Winnipeg,Canada,https://www.uwinnipeg.ca
Western University,Ontario,,Canada,https://www.ouinfo.ca/universities/western
Wilfrid Laurier University,Ontario,,Canada,https://www.ouinfo.ca/universities/laurier-waterloo
York University,Ontario,,Canada,https://www.ouinfo.ca/universities/york
