universityName,programName,facultyName,degreeType
University of Toronto,Computer Science,Faculty of Arts and Science,BSc
University of Toronto,Life Sciences,Faculty of Arts and Science,BSc
University of Toronto,Rotman Commerce,Rotman School of Management,BCom
University of Toronto,Engineering Science,Faculty of Applied Science and Engineering,BASc
University of Waterloo,Computer Science,Faculty of Mathematics,BCS
University of Waterloo,Computer Engineering,Faculty of Engineering,BASc
University of Waterloo,Software Engineering,Faculty of Engineering,BSE
University of Waterloo,Accounting and Financial Management,Faculty of Arts,BAFM
McMaster University,Health Sciences,Faculty of Health Sciences,BHSc
McMaster University,Engineering,Faculty of Engineering,BEng
McMaster University,Computer Science,Faculty of Engineering,BSc
Western University,Medical Sciences,Schulich School of Medicine and Dentistry,BMSc
Western University,Ivey Advanced Entry Opportunity,Ivey Business School,HBA
Western University,Computer Science,Faculty of Science,BSc
Queen's University,Commerce,Smith School of Business,BCom
Queen's University,Computing,Faculty of Arts and Science,BCmp
Queen's University,Engineering and Applied Science,Faculty of Engineering and Applied Science,BASc
University of Ottawa,Computer Science,Faculty of Engineering,BSc
University of Ottawa,Biomedical Science,Faculty of Science,BSc
York University,Computer Science,Lassonde School of Engineering,BSc
York University,Schulich Business Administration,Schulich School of Business,BBA
Toronto Metropolitan University,Computer Science,Faculty of Science,BSc
Toronto Metropolitan University,Business Management,Ted Rogers School of Management,BCom
University of Guelph,Biological Science,College of Biological Science,BSc
University of Guelph,Computer Science,College of Engineering and Physical Sciences,BComp
Carleton University,Computer Science,Faculty of Science,BCS
Carleton University,Engineering,Faculty of Engineering and Design,BEng
University of British Columbia,Computer Science,Faculty of Science,BSc
University of British Columbia,Commerce,Sauder School of Business,BCom
University of British Columbia,Engineering,Faculty of Applied Science,BASc
McGill University,Computer Science,Faculty of Science,BSc
McGill University,Life Sciences,Faculty of Science,BSc
McGill University,Commerce,Desautels Faculty of Management,BCom
